,Subdistrict,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Thokkathan-Mother Earth Squeezing Her Hair (พระแม่ธรณีบีบมวยผม อุทกทาน),13.756601843910255,100.49476730464075,Culture
1,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Siwamokhaphiman Hall (พระที่นั่งศิวโมกขพิมาน),13.757516,100.49214,Culture
2,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,พระที่นั่งพุทไธสวรรย์,13.7578945,100.4921,Culture
3,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Phra Nakorn Bar & Gallery (พระนครบาร์),13.756689360103568,100.49802569548721,Nightlife
4,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Café VeloDome (คาเฟ่ เวโลโดม),13.755757,100.492017,Café
5,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Bangkok National Museum (พิพิธภัณฑสถานแห่งชาติ พระนคร),13.757215438529597,100.49243957896135,Culture
6,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Ranee's Velo Restaurant (รานีส์เวโล เรสเตอรองต์),13.75882720550754,100.49575489762624,Western Restaurant
7,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Temple of the Emerald Buddha (วัดพระศรีรัตนศาสดาราม (วัดพระแก้ว)),13.751734643691861,100.49265146255493,Culture
8,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Royal Hotel (โรงแรมรัตนโกสินทร์),13.757138052117332,100.49543817078101,Accomodation
9,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Nattaporn Ice cream (นัฐพร ไอศครีมกะทิสดแท้),13.751688,100.49754,Dessert Shop
10,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,ปาท่องโก๋เสวย,13.752554,100.49828,Western Restaurant
11,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Charm-Learn Studio (ชามเริญ สตูดิโอ),13.753337,100.498024,Culture
12,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,The Club,13.759390041815939,100.49681547154682,Nightlife
13,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Ko Panich (ก.พานิช),13.752200865353045,100.49824998253554,Dessert Shop
14,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,The National Theatre (โรงละครแห่งชาติ),13.758806021120995,100.49286147385915,Culture
15,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Smiths Bar and Restaurant,13.758592087585106,100.49591723518375,Nightlife
16,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Prasat Phra Thep Bidon (ปราสาทพระเทพบิดร),13.751606,100.49272,Culture
17,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Hippie de Bar (ฮิปปี้ เดอ บาร์),13.759279082944937,100.49606859355946,Nightlife
18,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Coin Museum (พิพิธภัณฑ์เหรียญ),13.759018,100.49472,Culture
19,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Rat Na Yot Phak 40 years (ราดหน้ายอดผัก (สูตร 40 ปี)),13.753047017350042,100.49842932401565,Noodle House
20,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Thai Tham (ลูกชิ้น-มันสมองหมู ไทยทำ),13.75180880641601,100.4967156272417,Restaurant
21,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Kimleng (กิมเล้ง),13.756588,100.49878,Asian Restaurant
22,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Bar Next Door,13.75855422881307,100.49741174745668,Nightlife
23,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,The Fabulous Dessert Cafe (ฟาบูลัส คาเฟ่),13.759171508059625,100.49593893275284,Dessert Shop
24,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Café Amazon (คาเฟ่ อเมซอน),13.75241331553434,100.49415432574492,Café
25,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,7-Eleven (เซเว่น อีเลฟเว่น),13.75952964077324,100.49565553665161,Convenience Store
26,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,เจ๊นี เผือกหิมะ,13.753396094860857,100.4984071723283,Restaurant
27,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,บัวลอยเกตุแก้ว,13.752604,100.49828,Dessert Shop
28,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Let's Massage,13.759303331748697,100.49619453750651,Nightlife
29,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,กุ้ยช่ายคุณแม่ ศาลเจ้าพ่อเสือ,13.752840660254892,100.49840688498048,Chinese Restaurant
30,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Wat Mahathat Yuwarajarangsarit Rajaworamahavihara (วัดมหาธาตุยุวราชรังสฤษฎิ์ราชวรมหาวิหาร),13.755066642937557,100.49048941692712,Culture
31,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Som Horm (ครัวส้มหอม),13.7522,100.4977,Restaurant
32,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Jojo's Pad Thai,13.759417484140267,100.4961710405435,Noodle House
33,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Khaosan Center (ข้าวสารเซ็นเตอร์),13.759042257888094,100.49697555401228,Nightlife
34,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,na nakorn minibar (ณ นครมินิบาร์),13.75677050502783,100.49819392415165,Nightlife
35,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Khaosan Night Market,13.75901,100.496951,Nightlife
36,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,ลูกชิ้นหมูแพร่งนรา,13.752418,100.49827,BBQ Joint
37,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,3rd Cafe (เติ๊ดคาเฟ่),13.753777525328958,100.49877072676458,Café
38,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,ศิริโภชนา,13.754559748264908,100.49717140606322,Noodle House
39,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,PARADAi (ภราดัย),13.756257715484642,100.49884085578283,Dessert Shop
40,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,Sake Coffee Pub (สาเก ค็อฟฟี่ผับ),13.756530073428078,100.49806234918596,Nightlife
41,"Phra Borom Maha Ratchawang, Phra Nakhon",13.755320000000001,100.49498,อุดมโภชนา,13.751659,100.49727,Asian Restaurant
