,District,Subdistrict,Latitude,Longitude
0,Phra Nakhon,Phra Borom Maha Ratchawang,13.75532,100.49498
1,Phra Nakhon,Wang Burapha Phirom,13.74512,100.49935
2,Phra Nakhon,Wat Ratchabophit,13.75047,100.50029
3,Phra Nakhon,Samran Rat,13.75204,100.50449
4,Phra Nakhon,San Chaopho Suea,13.75467,100.49684
5,Phra Nakhon,Sao Chingcha,13.75378,100.49867
6,Phra Nakhon,Bowon Niwet,13.76056,100.49948
7,Phra Nakhon,Talat Yot,13.76071,100.49688
8,Phra Nakhon,Chana Songkhram,13.76363,100.49604
9,Phra Nakhon,Ban Phan Thom,13.76503,100.50067
10,Phra Nakhon,Bang Khun Phrom,13.76597,100.50628
11,Phra Nakhon,Wat Sam Phraya,13.76488,100.49971
12,Dusit,Dusit,13.77835,100.52188
13,Dusit,Wachiraphayaban,13.7716,100.50398
14,Dusit,Suan Chitlada,13.77221,100.50874
15,Dusit,Si Yaek Maha Nak,13.75706,100.51996
16,Dusit,Thanon Nakhon Chai Si,13.78458,100.52508
17,Nong Chok,Krathum Rai,13.83985,100.86944
18,Nong Chok,Nong Chok,13.87113,100.86736
19,Nong Chok,Khlong Sip,13.90048,100.81106
20,Nong Chok,Khlong Sip Song,13.89483,100.87594
21,Nong Chok,Khok Faet,13.83918,100.8268
22,Nong Chok,Khu Fang Nuea,13.85474,100.811
23,Nong Chok,Lam Phak Chi,13.81498,100.84185
24,Nong Chok,Lam Toiting,13.77787,100.87033
25,Bang Rak,Maha Phruettharam,13.73411,100.51863
26,Bang Rak,Si Lom,13.72659,100.53378
27,Bang Rak,Suriyawong,13.72764,100.53164
28,Bang Rak,Bang Rak,13.727,100.5241
29,Bang Rak,Si Phraya,13.72788,100.5186
30,Bang Khen,Anusawari,13.89006,100.60516
31,Bang Khen,Tha Raeng,13.863,100.67059
32,Bang Kapi,Khlong Chan,13.78296,100.64525
33,Bang Kapi,Hua Mak,13.76467,100.661
34,Pathum Wan,Rong Mueang,13.74827,100.51917
35,Pathum Wan,Wang Mai,13.74338,100.52631
36,Pathum Wan,Pathum Wan,13.73952,100.53539
37,Pathum Wan,Lumphini,13.73432,100.54602
38,Pom Prap Sattru Phai,Pom Prap,13.74078,100.51252
39,Pom Prap Sattru Phai,Wat Thep Sirin,13.7505,100.50917
40,Pom Prap Sattru Phai,Khlong Maha Nak,13.75272,100.51343
41,Pom Prap Sattru Phai,Ban Bat,13.75574,100.5063
42,Pom Prap Sattru Phai,Wat Sommanat,13.75797,100.51131
43,Phra Khanong,Bang Chak,13.69505,100.62269
44,Phra Khanong,Phra Khanong Tai,13.71251,100.5915
45,Min Buri,Min Buri,13.80198,100.72857
46,Min Buri,Saen Saep,13.81198,100.78256
47,Lat Krabang,Lat Krabang,13.72772,100.7477
48,Lat Krabang,Khlong Song Ton Nun,13.73448,100.73146
49,Lat Krabang,Khlong Sam Prawet,13.76236,100.75127
50,Lat Krabang,Lam Pla Thio,13.75551,100.79867
51,Lat Krabang,Thap Yao,13.71997,100.80781
52,Lat Krabang,Khum Thong,13.70132,100.85305
53,Yan Nawa,Chong Nonsi,13.68303,100.53989
54,Yan Nawa,Bang Phongphang,13.68546,100.5374
55,Samphanthawong,Chakkrawat,13.74124,100.50616
